"","colonia","dia.sem","long","lat","n"
"29","COLLI EL","Wed",-103.428380025,20.643036389375,16
"30","SAN JUAN DE OCOTAN","Sun",-103.4546627625,20.709322289375,16
"31","ARCOS DE ZAPOPAN","Thu",-103.407968473333,20.7414260666667,15
"32","LOMAS DE TABACHINES","Mon",-103.357540606667,20.7505396706667,15
"33","MARIANO OTERO","Mon",-103.448370446667,20.6310873313333,15
"34","MIRAMAR","Thu",-103.45319304,20.640603094,15
"35","PARAISOS DEL COLLI","Mon",-103.451349653333,20.65075029,15
"36","TABACHINES","Wed",-103.363479726667,20.739661978,15
"37","ARBOLEDAS","Wed",-103.424940521429,20.6291237164286,14
"38","ARENALES TAPATIOS","Mon",-103.461367714286,20.6349113357143,14
"39","CABECERA MUNICIPAL","Tue",-103.390394878571,20.7229487992857,14
"40","CALMA LA","Mon",-103.415174214286,20.6354660714286,14
"41","CAMINO REAL","Mon",-103.412233571429,20.672611915,14
"42","JARDINES DE NUEVO MEXICO","Wed",-103.44711155,20.7658183528571,14
"43","PASEOS DEL SOL","Sat",-103.430198757143,20.6366996964286,14
"44","ARENALES TAPATIOS","Fri",-103.460904161538,20.6348188453846,13
"45","ARENALES TAPATIOS","Thu",-103.460877361538,20.6333249507692,13
"46","ARENALES TAPATIOS","Tue",-103.460080138462,20.6340544784615,13
"47","CALMA LA","Sat",-103.415608838462,20.6356030761538,13
"48","COLLI EL","Mon",-103.432543315385,20.6449437876923,13
"49","COLLI EL","Thu",-103.4312862,20.64340545,13
"50","CONSTITUCION","Fri",-103.366184684615,20.7300576661538,13
